KEY,en,notes,sp,fr,de,it,pt-br,ja
KEYWORD_TARRED_DESC_STACKLESS,Decreases speed. Flammable.,,Reduce la velocidad. Inflamable.,Diminue la vitesse. Inflammable.,Verringert Geschwindigkeit. Leicht brennbar.,Riduce la velocità. Infiammabile.,Diminui a velocidade. Inflamável.,素早さが​低下するにゃ。​可燃性にゃ。[b][/b]
KEYWORD_TECH_NAME,Tech,,Tecnología,Techno,Technologie,Tecnologia,Tecnologia,テック
KEYWORD_TECH_DESC,Increases the quality of the next item you craft or the next familiar you spawn.Up to 3 Tech can be used at a time.,,Aumenta la calidad del siguiente objeto creado o el siguiente familiar generado.Se pueden usar hasta 3 de tecnología al mismo tiempo.,Augmente la qualité du prochain objet que vous fabriquez ou du prochain familier que vous invoquez.Jusqu'à 3&nbsp;technos peuvent être utilisées à la fois.,"Erhöht die Qualität des nächsten Gegenstandes, den du herstellst oder den nächsten Begleiter, den du baust.Du kannst bis zu 3&nbsp;Technologie auf einmal verwenden.",Migliora la qualità del prossimo oggetto che crei o del prossimo famiglio che generi.È possibile utilizzare fino a 3 Tecnologie alla volta.,Aumenta a qualidade do próximo item que você fabricar ou do próximo familiar que você gerar.A tecnologia só pode ser utilizada até um máximo de 3 por vez.,次に​クラフトする​アイテムまたは​召喚する​使い魔の​品質が​上昇するにゃ。​一度に​最大3テックまで​使用できるにゃ。[b][/b]
KEYWORD_TEMPBACKSTAB_NAME,Backstab Bonus,,Bonificación de daño por la espalda,Bonus d'attaque sournoise,Bonus für Angriffe von hinten,Bonus Colpo alle Spalle,Bônus de Punhalada,バック​スタブボーナス
KEYWORD_TEMPBACKSTAB_DESC,+{stacks}% Backstab Damage this turn. (Plus the default 25% backstab bonus.),,Inflige un +{stacks} % de daño por la espalda este turno (más el 25 % por defecto de la bonificación de daño por la espalda).,Dégâts d'attaque sournoise +{stacks}&nbsp;% ce tour. (En plus du bonus d'attaque sournoise par défaut de 25&nbsp;%.),+{stacks}&nbsp;% erhöhten Schaden für Angriffe von hinten in diesem Zug. (Zusätzlich zu den regulären 25&nbsp;%.),+{stacks}% al danno da colpo alle spalle in questo turno (più il consueto 25% di bonus per il colpo alle spalle).,+{stacks}% de dano de punhalada neste turno. (Além do bônus de punhalada padrão de 25%.),この​ターン、​バック​スタブダメージが​+{stacks}%にゃ。​(デフォルトの​25%ボーナスに​加えて)[b][/b]
KEYWORD_TEMPBACKSTAB_DESC_STACKLESS,Increases the damage your Backstabs deal.,,Aumenta el daño de los ataques por la espalda.,Augmente vos dégâts d'attaque sournoise.,"Erhöht den Schaden, den deine Angriffe von hinten verursachen.",Aumenta il danno inflitto dai tuoi colpi alle ppalle.,Aumenta o dano causado pelas suas punhaladas.,バック​スタブダメージが​上昇するにゃ。[b][/b]
KEYWORD_TEMPCOUNTER_NAME,Counter Attack,,Contrataque,Contre-attaque,Konter,Contrattacco,Contra-Ataque,反撃
KEYWORD_TEMPCOUNTER_DESC,Attack things that damage you automatically.,,Ataca automáticamente a los entes que le inflijan daño.,Attaque automatiquement les choses qui vous infligent des dégâts.,"Greife die nächste Einheit, die dir Schaden zufügt, automatisch an.",Attacchi automaticamente le cose che ti danneggiano.,Ataque automaticamente coisas que causem dano a você.,ダメージを​与えてきた​対象に​自動で​攻撃するにゃ。[b][/b]
KEYWORD_TEMPINIT_NAME,Initiative Up,,Iniciativa aumentada,Initiative (+),Initiative hoch,Iniziativa +,Iniciativa Aumentada,先攻上昇
KEYWORD_TEMPINIT_DESC,You take your turn earlier in the round.,,Esta unidad juega el turno antes de que le toque durante la ronda.,Vous jouez votre tour plus tôt cette manche-ci.,Du bist früher in der Runde am Zug.,Effettui il tuo turno prima del previsto nel round.,Você utiliza seu turno mais cedo na próxima rodada.,ラウンド内で​より​早く​ターンが​来るにゃ。[b][/b]
KEYWORD_TEMPINITDOWN_NAME,Initiative Down,,Iniciativa reducida,Initiative (-),Initiative runter,Iniziativa -,Iniciativa Diminuída,先攻低下
KEYWORD_TEMPINITDOWN_DESC,You take your turn later in the round.,,Esta unidad juega el turno después de que le toque durante la ronda.,Vous jouez votre tour plus tard cette manche-ci.,Du bist später in der Runde am Zug.,Effettui il tuo turno più tardi del previsto nel round.,Você utiliza seu turno mais tarde na próxima rodada.,ラウンド内で​より​遅く​ターンが​来るにゃ。[b][/b]
KEYWORD_TEMPIMMUNE_NAME,Injury Immunity,,Inmunidad a las lesiones,Immunité aux blessures,Verletzungsimmun,Immunità alle Ferite,Imunidade Contra Ferimentos,ケガ免疫
KEYWORD_TEMPIMMUNE_DESC,Cannot receive Injuries for any reason. Lasts {stacks} turns.,,"Por lo que sea, no sufre ninguna lesión. Dura {stacks} turnos.",Ne peut pas subir de blessures. Dure {stacks} tours.,Kann keine Verletzungen erleiden. Dauert {stacks}&nbsp;Züge an.,Non puoi subire ferite per nessun motivo. Dura {stacks} turni.,Não pode sofrer ferimentos por qualquer razão. Dura {stacks} turnos.,いかなる​理由でも​ケガを​負わないにゃ。{stacks}ターン持続にゃ。[b][/b]
KEYWORD_TEMPIMMUNE_DESC_SINGULAR,Cannot receive Injuries for any reason. Lasts 1 turn.,,"Por lo que sea, no sufre ninguna lesión. Dura 1 turno.",Ne peut pas subir de blessures. Dure 1&nbsp;tour.,Kann keine Verletzungen erleiden. Dauert 1&nbsp;Zug an.,Non puoi subire ferite per nessun motivo. Dura 1 turno.,Não pode sofrer ferimentos por qualquer razão. Dura 1 turno.,いかなる​理由でも​ケガを​負わないにゃ。​1ターン持続にゃ。[b][/b]
KEYWORD_TEMPMANAREDUCTION_NAME,Insight,,Perspicacia,Réflexion,Erkenntnis,Intuizione,Discernimento,洞察
KEYWORD_TEMPMANAREDUCTION_DESC,Spells cost {stacks} less mana to cast until the end of the turn.,,Los hechizos cuestan {stacks} menos de maná hasta el final del turno.,Vos sorts coûtent -{stacks} mana jusqu'à la fin du tour.,Zauber kosten bis zum Ende des Zuges {stacks}&nbsp;Mana weniger.,Lanciare gli incantesimi costa {stacks} mana in meno fino alla fine del turno.,Encantamentos custam {stacks} a menos de mana para serem lançados até o final do turno.,ターン終了まで​スペル詠唱コストが{stacks}マナ減少するにゃ。[b][/b]
KEYWORD_TEMPMANAREDUCTION_DESC_STACKLESS,Spells cost less mana to cast until the end of the turn.,,Los hechizos cuestan menos maná hasta el final del turno.,Vos sorts coûtent moins de mana jusqu'à la fin du tour.,Zauber kosten bis zum Ende des Zuges weniger Mana.,Lanciare gli incantesimi costa meno mana fino alla fine del turno.,Encantamentos custam menos mana para serem lançados até o final do turno.,ターン終了まで​スペル詠唱コストが​減少するにゃ。[b][/b]
KEYWORD_PRECOUNTER_NAME,Preemptive Counter,,Contrataque preventivo,Riposte préventive,Präventiver Konter,Contrattacco Preventivo,Contra-Ataque Preventivo,先制反撃
KEYWORD_PRECOUNTER_DESC,"Attack things that target you before they attack you, automatically.",,Esta unidad ataca automáticamente a los entes que la apunten antes de que la ataquen.,Attaque automatiquement les choses qui vous ciblent avant qu'elles ne vous attaquent.,"Greift automatisch Gegner an, die dich anvisieren, bevor sie angreifen.",Attacchi automaticamente le unità che ti prendono di mira prima che ti attacchino.,Ataque automaticamente coisas que pretenderem atacar você antes que esses ataques sejam realizados.,狙ってきた​対象を​相手の​攻撃前に​自動で​攻撃するにゃ。[b][/b]
KEYWORD_THORNS_NAME,Thorns,,Espinas,Épines,Dornen,Spine,Espinhos,棘
KEYWORD_THORNS_DESC,Deals {stacks} damage to units that contact you.,,Inflige {stacks} de daño a las unidades que entran en contacto con esta.,Inflige {stacks} dégâts aux unités qui vous touchent.,"Verursacht {stacks}&nbsp;Schaden bei Einheiten, die dich berühren.",Infligge {stacks} di danno alle unità che ti toccano.,Causa {stacks} de dano a unidades que entrarem em contato com você.,接触した​ユニットに{stacks}ダメージを​与えるにゃ。[b][/b]
KEYWORD_THORNS_DESC_STACKLESS,Deals damage to units that contact you.,,Inflige daño a las unidades que entran en contacto con esta.,Inflige des dégâts aux unités qui vous touchent.,"Verursacht Schaden bei Einheiten, die dich berühren.",Infligge danno alle unità che ti toccano.,Causa dano a unidades que entrarem em contato com você.,接触した​ユニットに​ダメージを​与えるにゃ。[b][/b]
KEYWORD_SENTRY_NAME,Sentry Mode,,Modo centinela,Mode sentinelle,Wächtermodus,Modalità Sentinella,Modo Sentinela,セントリーモード
KEYWORD_SENTRY_DESC,"The next time an enemy ends its movement in your basic attack range, attack it.",,"La próxima vez que un enemigo termine el movimiento al alcance del ataque básico de esta unidad, lo atacará.","La prochaine fois qu'un ennemi termine son déplacement dans la portée de votre attaque de base, vous l'attaquez.","Greife den nächsten Gegner an, der in der Reichweite deines Grundangriffs stehenbleibt.","La prossima volta che un nemico termina il suo movimento nel tuo raggio di attacco base, lo attacchi.","Na próxima vez em que um inimigo terminar seu movimento dentro do alcance do seu ataque básico, ataque-o.",次に​敵が​通常攻撃範囲内で​移動終了した​時、​攻撃するにゃ。[b][/b]
KEYWORD_SENTRYPLUS_NAME,Sentry Mode+,,Modo centinela+,Mode sentinelle+,Wächtermodus+,Modalità Sentinella+,Modo Sentinela+,セントリーモード+
KEYWORD_SENTRYPLUS_DESC,"When an enemy ends its movement in your basic attack range, attack it. Lasts {stacks} turns.",,"Cuando un enemigo termina el movimiento al alcance del ataque básico de esta unidad, lo ataca. Dura {stacks} turnos.","Dès qu'un ennemi termine son déplacement dans la portée de votre attaque de base, vous l'attaquez. Dure {stacks} tours.","Greife Gegner an, die in der Reichweite deines Grundangriffs stehenbleiben. Hält {stacks}&nbsp;Züge an.","Quando un nemico termina il suo movimento nel tuo raggio di attacco base, lo attacchi. Dura {stacks} turni.","Sempre que um inimigo terminar seu movimento dentro do alcance do seu ataque básico, ataque-o. Dura {stacks} turnos.",敵が​通常攻撃範囲内で​移動終了した​時、​攻撃するにゃ。{stacks}ターン持続にゃ。[b][/b]
KEYWORD_SENTRYPLUS_DESC_STACKLESS,"When an enemy ends its movement in your basic attack range, attack it.",,"Cuando un enemigo termina el movimiento al alcance del ataque básico de esta unidad, lo ataca.","La prochaine fois qu'un ennemi termine son déplacement dans la portée de votre attaque de base, vous l'attaquez.","Greife Gegner an, die in der Reichweite deines Grundangriffs stehenbleiben.","Quando un nemico termina il suo movimento nel tuo raggio di attacco base, lo attacchi.","Sempre que um inimigo terminar seu movimento dentro do alcance do seu ataque básico, ataque-o.",敵が​通常攻撃範囲内で​移動終了した​時、​攻撃するにゃ。[b][/b]
KEYWORD_TRANSFORM_NAME,Transformation,,Transformación,Transformation,Verwandlung,Trasformazione,Transformação,変身
KEYWORD_TRANSFORM_DESC,Transforms when the timer hits 0.,,Se transforma cuando se agota el tiempo.,Se transforme quand le minuteur atteint 0.,"Verwandelt sich, wenn der Timer 0 erreicht.",Si trasforma quando il timer arriva a 0.,Transforma-se quando o cronômetro chega a 0.,タイマーが​0に​なると​変身するにゃ。[b][/b]
KEYWORD_WEAKNESS_NAME,Weakness,,Debilidad,Vulnérabilité,Schwäche,Debolezza,Fraqueza,弱体化
KEYWORD_WEAKNESS_DESC,"-2 [img:dex], -2 [img:str], -2 [img:spd]. Lasts {stacks} turns.",,"-2 [img:dex], -2 [img:str], -2 [img:spd]. Dura {stacks} turnos.","[img:dex] -2, [img:str] -2, [img:spd] -2. Dure {stacks} tours.","-2&nbsp;[img:dex], -2&nbsp;[img:str], -2&nbsp;[img:spd]. Hält {stacks}&nbsp;Züge an.","-2 alla [img:dex], -2 alla [img:str], -2 alla [img:spd]. Dura {stacks} turni.","-2 de [img:dex], -2 de [img:str] e -2 de [img:spd]. Dura {stacks} turnos.",-2 [img:dex]、​-2 [img:str]、​-2 [img:spd]にゃ。{stacks}ターン持続にゃ。
KEYWORD_WEAKNESS_DESC_SINGULAR,"-2 [img:dex], -2 [img:str], -2 [img:spd]. Lasts 1 turn.",,"-2 [img:dex], -2 [img:str], -2 [img:spd]. Dura 1 turno.","[img:dex] -2, [img:str] -2, [img:spd] -2. Dure 1&nbsp;tour.","-2&nbsp;[img:dex], -2&nbsp;[img:str], -2&nbsp;[img:spd]. Hält 1&nbsp;Zug an.","-2 alla [img:dex], -2 alla [img:str], -2 alla [img:spd]. Dura 1 turno.","-2 de [img:dex], -2 de [img:str] e -2 de [img:spd]. Dura 1 turno.",-2 [img:dex]、​-2 [img:str]、​-2 [img:spd]にゃ。​1ターン持続にゃ。
KEYWORD_WEAKNESS_DESC_STACKLESS,"-2 [img:dex], -2 [img:str], -2 [img:spd], temporarily.",,"-2 [img:dex], -2 [img:str], -2 [img:spd]. Tiene un efecto temporal.","[img:dex] -2, [img:str] -2, [img:spd] -2, temporairement.","Vorübergehend -2&nbsp;[img:dex], -2&nbsp;[img:str], -2&nbsp;[img:spd].","-2 alla [img:dex], -2 alla [img:str], -2 alla [img:spd], temporaneamente.","-2 de [img:dex], -2 de [img:str] e -2 de [img:spd] temporariamente.",一時的に​-2 [img:dex]、​-2 [img:str]、​-2 [img:spd]にゃ。
KEYWORD_WEBBED_NAME,Webbed,,Telaraña,Toile,Netz,Ragnatela,Teia,蜘蛛の​巣
KEYWORD_WEBBED_DESC,Immobile. Use basic attack to break free.,,Esta unidad queda inmovilizada. Se libera con el ataque básico.,Immobilisation. Utilisez une attaque de base pour vous libérer.,"Unbeweglich. Benutze deinen Grundangriff, um dich zu befreien.",Immobilizzazione. Usa l'attacco base per liberarti.,Imobilização. Utilize o ataque básico para se libertar.,移動不可にゃ。​通常攻撃で​脱出するにゃ。[b][/b]
KEYWORD_TANGLED_NAME,Entangled,,Enredo,Emmêlement,Verstrickt,Intrappolamento,Amarração,絡まった
KEYWORD_TANGLED_DESC,Immobile. Use basic attack to break free.,,Esta unidad queda inmovilizada. Se libera con el ataque básico.,Immobilisation. Utilisez une attaque de base pour vous libérer.,"Unbeweglich. Benutze deinen Grundangriff, um dich zu befreien.",Immobilizzazione. Usa l'attacco base per liberarti.,Imobilização. Utilize o ataque básico para se libertar.,移動不可にゃ。​通常攻撃で​脱出するにゃ。[b][/b]
KEYWORD_WET_NAME,Wet,,Mojado,Mouillé,Nass,Grondante,Molhado,濡れ
KEYWORD_WET_DESC,Wet.,,Esta unidad está mojada.,Mouillé.,Nass.,Quest'unità è bagnata.,Molhado.,濡れてるにゃ。
KEYWORD_ZOMBIE_NAME,Zombie,,Zombi,Zombie,Zombie,Zombie,Zumbi,ゾンビ
KEYWORD_ZOMBIE_DESC,-2 [img:str]. -2 [img:int]. Takes damage from Holy Element heals. Does not get injured when downed.,,"-2 [img:str], -2 [img:int]. Esta unidad sufre daño de las acciones curativas de los elementos sagrados. No sufre ninguna lesión cuando está abatida.","[img:str] -2. [img:int] -2. Les soins sacrés lui infligent des dégâts. K.O., ne peut pas subir de blessures.","-2&nbsp;[img:str]. -2&nbsp;[img:int]. Erleidet Schaden von heiligen Heilzaubern. Wird nicht verletzt, wenn er in Ohnmacht fällt.",-2 alla [img:str]. -2 alla [img:int]. Subisce danno dalle cure di Elemento Sacro. Non subisce ferite quando è KO.,-2 de [img:str]. -2 de [img:int]. Sofre dano de curas do elemento sagrado. Não sofre ferimentos ao ficar inconsciente.,-2 [img:str]、​-2 [img:int]にゃ。​聖属性の​回復で​ダメージを​受けるにゃ。​倒されても​ケガを​負わないにゃ。
//furniture stats,,,,,,,,
KEYWORD_COMFORT_NAME,[img:comfort] Comfort,,[img:comfort] Comodidad,[img:comfort] Bien-être,[img:comfort]&nbsp;Komfort,[img:comfort] Comfort,[img:comfort] Conforto,[img:comfort] 快適さ
KEYWORD_COMFORT_DESC,Affects how often cats will breed or fight.,,Afecta a la frecuencia con la que los gatos se aparean o pelean.,Affecte la fréquence à laquelle les chats se reproduisent et se battent.,"Wirkt sich darauf aus, wie oft Katzen sich vermehren und kämpfen.",Influisce sulla frequenza con cui i gatti si riproducono o combattono.,Afeta o quão frequentemente gatos podem procriar ou lutar.,猫が​繁殖するか​喧嘩するかの​頻度に​影響するにゃ。[b][/b]
KEYWORD_STIMULATION_NAME,[img:stimulation] Stimulation,,[img:stimulation] Estimulación,[img:stimulation] Stimulation,[img:stimulation]&nbsp;Stimulation,[img:stimulation] Stimolazione,[img:stimulation] Estimulação,[img:stimulation] 刺激
KEYWORD_STIMULATION_DESC,Affects the quality of newborn kittens.,,Afecta a la calidad de los mininos recién nacidos.,Affecte la qualité des chatons nouveau-nés.,Wirkt sich auf die Qualität neugeborener Kätzchen aus.,Influisce sulla qualità dei gattini appena nati.,Afeta a qualidade de filhotes de gato recém-nascidos.,生まれる​子猫の​質に​影響するにゃ。[b][/b]
KEYWORD_APPEAL_NAME,[img:appeal] Appeal,,[img:appeal] Atractivo,[img:appeal] Attractivité,[img:appeal]&nbsp;Reiz,[img:appeal] Attrattiva,[img:appeal] Apelo,[img:appeal] 魅力度
KEYWORD_APPEAL_DESC,Affects the quality of the stray cats that show up each day,,Afecta a la calidad de los gatos vagabundos que aparecen cada día.,Affecte la qualité des chats errants qui apparaissent chaque jour.,"Wirkt sich auf die Qualität von Streunern aus, die täglich erscheinen.",Influisce sulla qualità dei gatti randagi che compaiono ogni giorno.,Afeta a qualidade de gatos vira-latas que surgem a cada dia.,毎日​現れる​野良猫の​質に​影響するにゃ。[b][/b]
KEYWORD_EVOLUTION_NAME,[img:evolution] Mutation,,[img:evolution] Mutación,[img:evolution] Mutation,[img:evolution]&nbsp;Mutation,[img:evolution] Mutazione,[img:evolution] Mutação,[img:evolution] ミューテーション
KEYWORD_EVOLUTION_DESC,Adds a chance for cats to receive random mutations each night.,,Añade la probabilidad de que los gatos reciban mutaciones al azar cada noche.,Ajoute une chance que les chats reçoivent des mutations aléatoires chaque nuit.,"Erhöht die Wahrscheinlichkeit, dass Katzen nachts mutieren.",Aggiunge una probabilità che i gatti ricevano mutazioni casuali ogni notte.,Adiciona uma chance de gatos sofrerem mutações aleatórias a cada noite.,毎晩猫が​ランダムな​ミューテーションを​得る​確率を​追加するにゃ。[b][/b]
KEYWORD_HEALTH_NAME,[img:health] Health,,[img:health] Salud,[img:health] Santé,[img:health]&nbsp;Gesundheit,[img:health] Salute,[img:health] Saúde,[img:health] 健康
KEYWORD_HEALTH_DESC,Affects lifespan and chance to develop or cure disorders each night,,Afecta a la esperanza de vida y a la probabilidad de desarrollar trastornos o curarlos cada noche.,Affecte l'espérance de vie et la probabilité de développer ou guérir des troubles chaque nuit.,"Wirkt sich auf die Lebensspanne und die Wahrscheinlichkeit aus, nachts Störungen zu heilen oder zu entwickeln.",Influisce sulla longevità e sulla probabilità di sviluppare o curare disturbi ogni notte.,Afeta a longevidade e a chance de desenvolver ou curar transtornos a cada noite.,寿命と​毎晩​障害を​発症または​治癒する​確率に​影響するにゃ。[b][/b]
//tormentor glyphs,,,,,,,,
KEYWORD_TOR_BITE_NAME,Lucifer Rune,,Runa de Lucifer,Rune de Lucifer,Luzifers Rune,Runa di Lucifero,Runa Lúcifer,ルシファーの​ルーン
KEYWORD_TOR_BITE_DESC,Imbues its owner with an extra turn and the power to Bite,,Otorga a quien la tenga un turno extra y la capacidad de morder.,Confère à son porteur un tour bonus et la compétence Morsure.,Verleiht dem Eigentümer einen zusätzlichen Zug und einen Biss.,Conferisce a chi la porta un turno aggiuntivo e il potere del Morso.,Infunde em seu portador um turno extra e o poder de morder.,所有者に​追加ターンと​噛みつく​力を​与えるにゃ。[b][/b]
KEYWORD_TOR_FIRE_NAME,Brimstone Rune,,Runa de azufre,Rune infernale,Schwefelrune,Runa di Zolfo,Runa Sulfúrica,ブリムストーンの​ルーン
KEYWORD_TOR_FIRE_DESC,Imbues its owner's basic attack with +2 Damage and +2 Burn.,,Impregna el ataque básico de quien la tenga de +2 de daño y +2 de quemadura.,Confère à l'attaque de base de son porteur Dégâts +2&nbsp;et Brûlure +2.,Verleiht dem Grundangriff des Eigentümers +2&nbsp;Schaden und +2&nbsp;Verbrennung.,Conferisce all'attacco base di chi la porta +2 al Danno e +2 Bruciatura.,Infunde no ataque básico de seu portador +2 de dano e +2 de queimadura.,所有者の​通常攻撃に​+2ダメージと​+2燃焼を​与えるにゃ。[b][/b]
KEYWORD_TOR_SUMMON_NAME,Pentagram Rune,,Runa del pentáculo,Rune pentagramme,Pentagrammrune,Runa del Pentagramma,Runa Pentagrama,ペンタグラムの​ルーン
KEYWORD_TOR_SUMMON_DESC,Imbues its owner with an extra turn and the power to Summon,,Otorga a quien la tenga un turno extra y la capacidad de invocar.,Confère à son porteur un tour bonus et la compétence Invocation.,"Verleiht dem Eigentümer einen zusätzlichen Zug und die Macht, etwas zu beschwören.",Conferisce a chi la porta un turno aggiuntivo e il potere dell'Evocazione.,Infunde em seu portador um turno extra e o poder de invocar.,所有者に​追加ターンと​召喚の​力を​与えるにゃ。[b][/b]
KEYWORD_TOR_MOVE_NAME,Hexagram Rune,,Runa del hexagrama,Rune hexagramme,Hexagrammrune,Runa dell'Esagramma,Runa Hexagrama,ヘキサグラムの​ルーン
KEYWORD_TOR_MOVE_DESC,Imbues its owner with +1 Movement Range and +3 Trample Damage,,Otorga a quien la tenga +1 de alcance del movimiento y +3 de daño por pisotón.,Confère à son porteur Portée de déplacement +1&nbsp;et Dégâts de piétinement +3.,Verleiht dem Eigentümer +1&nbsp;Bewegungsreichweite und +3&nbsp;Trampelschaden.,Conferisce a chi la porta +1 al Raggio di Movimento e +3 al Danno da Calpestamento.,Infunde em seu portador +1 de alcance de movimento e +3 de dano de atropelamento.,所有者に​+1移動範囲と​+3蹂躙ダメージを​与えるにゃ。[b][/b]
KEYWORD_TOR_BOUNCE_NAME,Chaos Rune,,Runa del caos,Rune du chaos,Chaosrune,Runa del Caos,Runa do Caos,カオスの​ルーン
KEYWORD_TOR_BOUNCE_DESC,Imbues its owner with the ability to repel attackers.,,Otorga a quien la tenga la habilidad de repeler a los atacantes.,Confère à son porteur la compétence permettant de repousser les attaquants.,"Verleiht dem Eigentümer die Fähigkeit, Angreifer zurückzuschlagen.",Conferisce a chi la porta la capacità di allontanare gli attaccanti.,Infunde em seu portador a habilidade de repelir agressores.,所有者に​攻撃者を​弾き飛ばす能力を​与えるにゃ。[b][/b]
//final boss countdown,,,,,,,,
KEYWORD_CHILDHOLY_NAME,The Child's Flame,,Llama de la criatura,Flamme de l'enfant,Die Flamme des Kindes,La Fiamma del Bambino,Chama da Criança,子供の​炎
KEYWORD_CHILDHOLY_DESC,"Counts down every time it gets hit. At 0, unleash the holy beams.",,"Inicia una cuenta atrás cada vez que recibe un golpe. Al llegar a 0, lanza los rayos sagrados.","Le compteur diminue à chaque fois qu'elle est touchée. À 0, déchaîne des rayons sacrés.","Zählt jedes Mal herunter, wenn sie getroffen wird. Bei 0 werden die heiligen Strahlen entfesselt.","Si riduce ogni volta che viene colpita. Arrivata a 0, scatena i raggi sacri.","Diminui a cada golpe sofrido. Ao chegar a 0, libera os raios sagrados.",攻撃を​受ける​たびに​カウントダウン。​0に​なると​聖なる​光線を​放つにゃ。[b][/b]
KEYWORD_CHILDPULSE_NAME,The Child's Flame,,Llama de la criatura,Flamme de l'enfant,Die Flamme des Kindes,La Fiamma del Bambino,Chama da Criança,子供の​炎
KEYWORD_CHILDPULSE_DESC,"Counts down every time it gets hit. At 0, releases a pulse.",,"Inicia una cuenta atrás cada vez que recibe un golpe. Al llegar a 0, lanza un pulso.","Le compteur diminue à chaque fois qu'elle est touchée. À 0, émet une impulsion.","Zählt jedes Mal herunter, wenn sie getroffen wird. Bei 0 wird ein Puls entfesselt.","Si riduce ogni volta che viene colpita. Arrivata a 0, rilascia un impulso.","Diminui a cada golpe sofrido. Ao chegar a 0, libera um pulso.",攻撃を​受ける​たびに​カウントダウン。​0に​なると​パルスを​放つにゃ。[b][/b]
KEYWORD_CHILDWRATH_NAME,The Child's Flame,,Llama de la criatura,Flamme de l'enfant,Die Flamme des Kindes,La Fiamma del Bambino,Chama da Criança,子供の​炎
KEYWORD_CHILDWRATH_DESC,"Counts down every time it gets hit. At 0, unleash a wrath of holy light.",,"Inicia una cuenta atrás cada vez que recibe un golpe. Al llegar a 0, desata la ira de la luz sagrada.","Le compteur diminue à chaque fois qu'elle est touchée. À 0, déchaîne une furie de lumière sacrée.","Zählt jedes Mal herunter, wenn sie getroffen wird. Bei 0 wird der Zorn des heiligen Lichts entfesselt.","Si riduce ogni volta che viene colpita. Arrivata a 0, scatena un'ira di luce sacra.","Diminui a cada golpe sofrido. Ao chegar a 0, libera um golpe furioso de luz sagrada.",攻撃を​受ける​たびに​カウントダウン。​0に​なると​聖なる​光の​怒りを​放つにゃ。[b][/b]
//elite buffs,,,,,,,,
KEYWORD_ELITE_SPIKY_NAME,Elite Buff: Spiky,,Ventaja de élite: Pinchos,Bonus d'élite&nbsp;: Épines,Elite-Stärkung: Stachelig,Bonus Élite: Spine,Reforço de Elite: Espinhoso,エリートバフ:棘だらけ
KEYWORD_ELITE_SPIKY_DESC,+2 Thorns,,+2 de espinas,Épines +2.,+2&nbsp;Dornen,+2 Spine,+2 de espinhos,+2 棘
KEYWORD_ELITE_BOSSSPIKY_NAME,Elite Buff: Spiky,,Ventaja de élite: Pinchos,Bonus d'élite&nbsp;: Épines,Elite-Stärkung: Stachelig,Bonus Élite: Spine,Reforço de Elite: Espinhoso,エリートバフ:棘だらけ
KEYWORD_ELITE_BOSSSPIKY_DESC,+1 Thorns,,+1 de espinas,Épines +1.,+1&nbsp;Dornen,+1 Spine,+1 de espinhos,+1 棘
KEYWORD_ELITE_REACTIVE_NAME,Elite Buff: Reactive,,Ventaja de élite: Reactivación,Bonus d'élite&nbsp;: Pics,Elite-Stärkung: Reaktiv,Bonus Élite: Reattività,Reforço de Elite: Reação,エリートバフ:反応
KEYWORD_ELITE_REACTIVE_DESC,+1 Kinetic Spikes,,+1 de pinchos cinéticos,Pics cinétiques +1.,+1&nbsp;Kinetiknadeln,+1 Spuntoni Cinetici,+1 de espinhos cinéticos,+1 運動棘
KEYWORD_ELITE_DAMAGING_NAME,Elite Buff: Damaging,,Ventaja de élite: Daño,Bonus d'élite&nbsp;: Férocité,Elite-Stärkung: Schädigend,Bonus Élite: Danno,Reforço de Elite: Dano,エリートバフ:高火力
KEYWORD_ELITE_DAMAGING_DESC,+2 Damage,,+2 de daño,Dégâts +2.,+2&nbsp;Schaden,+2 al Danno,+2 de dano,+2 ダメージ
KEYWORD_ELITE_TOUGH_NAME,Elite Buff: Tough,,Ventaja de élite: Resistencia,Bonus d'élite&nbsp;: Robustesse,Elite-Stärkung: Zäh,Bonus Élite: Resistenza,Reforço de Elite: Resistência,エリートバフ:頑丈
KEYWORD_ELITE_TOUGH_DESC,+2 Brace,,+2 de refuerzo,Garde +2.,+2&nbsp;Wappnen,+2 alla Guardia,+2 de preparação,+2 ガード
KEYWORD_ELITE_BOSSTOUGH_NAME,Elite Buff: Tough,,Ventaja de élite: Resistencia,Bonus d'élite&nbsp;: Robustesse,Elite-Stärkung: Zäh,Bonus Élite: Resistenza,Reforço de Elite: Resistência,エリートバフ:頑丈
KEYWORD_ELITE_BOSSTOUGH_DESC,+1 Brace,,+1 de refuerzo,Garde +1.,+1&nbsp;Wappnen,+1 alla Guardia,+1 de preparação,+1 ガード
KEYWORD_ELITE_SHIELDED1_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
